X1,X2,X3,Y
5362.86,5278.92,5461.99,5416.77
5416.77,5362.86,5278.92,5450.28
5450.28,5416.77,5362.86,5465.3
5465.3,5450.28,5416.77,5371.22
5371.22,5465.3,5450.28,5384.65
5384.65,5371.22,5465.3,5202.28
5202.28,5384.65,5371.22,5318.49
5318.49,5202.28,5384.65,5305.89
5305.89,5318.49,5202.28,5264.91
5264.91,5305.89,5318.49,5249.32
5249.32,5264.91,5305.89,5104.3
5104.3,5249.32,5264.91,5081.47
5081.47,5104.3,5249.32,5089.36
5089.36,5081.47,5104.3,5150.55
5150.55,5089.36,5081.47,5105.78
5105.78,5150.55,5089.36,5279.17
5279.17,5105.78,5150.55,5265.96
5265.96,5279.17,5105.78,5280.96
5280.96,5265.96,5279.17,5348.4
5348.4,5280.96,5265.96,5352.7
5352.7,5348.4,5280.96,5400.1
5400.1,5352.7,5348.4,5390.69
5390.69,5400.1,5352.7,5409.5
5409.5,5390.69,5400.1,5424.01
5424.01,5409.5,5390.69,5454.18
5454.18,5424.01,5409.5,5485.55
5485.55,5454.18,5424.01,5473.47
5473.47,5485.55,5454.18,5474.62
5474.62,5473.47,5485.55,5439.68
5439.68,5474.62,5473.47,5388.3
5388.3,5439.68,5474.62,5379.13
5379.13,5388.3,5439.68,5389.41
5389.41,5379.13,5388.3,5440.63
5440.63,5389.41,5379.13,5426.29
5426.29,5440.63,5389.41,5411.07
5411.07,5426.29,5440.63,5347
5347,5411.07,5426.29,5315.69
5315.69,5347,5411.07,5352.34
5352.34,5315.69,5347,5304.33
5304.33,5352.34,5315.69,5290.04
5290.04,5304.33,5352.34,5206.83
5206.83,5290.04,5304.33,5262.31
5262.31,5206.83,5290.04,5309
5309,5262.31,5206.83,5304.37
5304.37,5309,5262.31,5343.48
5343.48,5304.37,5309,5364.1
5364.1,5343.48,5304.37,5369.09
5369.09,5364.1,5343.48,5352.74
5352.74,5369.09,5364.1,5326.43
5326.43,5352.74,5369.09,5335.57
5335.57,5326.43,5352.74,5329.68
5329.68,5335.57,5326.43,5377.92
5377.92,5329.68,5335.57,5417.86
5417.86,5377.92,5329.68,5377.76
5377.76,5417.86,5377.92,5409.23
5409.23,5377.76,5417.86,5401.33
5401.33,5409.23,5377.76,5371.47
5371.47,5401.33,5409.23,5355.64
5355.64,5371.47,5401.33,5381.59
5381.59,5355.64,5371.47,5393.94
5393.94,5381.59,5355.64,5330.14
5330.14,5393.94,5381.59,5346.45
5346.45,5330.14,5393.94,5320.67
5320.67,5346.45,5330.14,5327.54
5327.54,5320.67,5346.45,5318.72
5318.72,5327.54,5320.67,5195.5
5195.5,5318.72,5327.54,5171.73
5171.73,5195.5,5318.72,5199.49
5199.49,5171.73,5195.5,5184.14
5184.14,5199.49,5171.73,5173.2
5173.2,5184.14,5199.49,5118.43
5118.43,5173.2,5184.14,5087.94
5087.94,5118.43,5173.2,4997.35
4997.35,5087.94,5118.43,5055.99
5055.99,4997.35,5087.94,5045.91
5045.91,5055.99,4997.35,5045.7
5045.7,5045.91,5055.99,4958.93
4958.93,5045.7,5045.91,4890.9
4890.9,4958.93,5045.7,4970.35
4970.35,4890.9,4958.93,5080.67
5080.67,4970.35,4890.9,5126.08
5126.08,5080.67,4970.35,5128.76
5128.76,5126.08,5080.67,5196.78
5196.78,5128.76,5126.08,5217.87
5217.87,5196.78,5128.76,5245.89
5245.89,5217.87,5196.78,5267.92
5267.92,5245.89,5217.87,5233.76
5233.76,5267.92,5245.89,5299.47
5299.47,5233.76,5267.92,5296.07
5296.07,5299.47,5233.76,5342.9
5342.9,5296.07,5299.47,5371.52
5371.52,5342.9,5296.07,5420.98
5420.98,5371.52,5342.9,5445.57
